"Image_FileName_RawBF","Image_PathName_RawBF","Metadata_Plate","Metadata_Experiment","Metadata_Hour","Metadata_Magnification","Metadata_Well","Image_PathName_wellmask_98.png","Image_FileName_wellmask_98.png"
"p01-growth-H01-2X_A01.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A01","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A02.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A02","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A03.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A03","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A04.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A04","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A05.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A05","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A06.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A06","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A07.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A07","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A08.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A08","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A09.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A09","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A10.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A10","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_A11.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","A11","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B01.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B01","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B02.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B02","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B03.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B03","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B04.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B04","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B05.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B05","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B06.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B06","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B07.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B07","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B08.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B08","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B09.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B09","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B10.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B10","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_B11.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","B11","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C01.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C01","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C02.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C02","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C03.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C03","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C04.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C04","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C05.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C05","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C06.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C06","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C07.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C07","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C08.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C08","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C09.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C09","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C10.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C10","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_C11.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","C11","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_D01.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","D01","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_D02.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","D02","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_D03.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","D03","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_D04.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","D04","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
"p01-growth-H01-2X_D05.TIF","/projects/b1059/software/CellProfiler/projects/20191119_growth/raw_images","p01","growth","H01","2X","D05","/projects/b1059/software/CellProfiler/well_masks/","wellmask_98.png"
